assist_diff,cs_diff,diff_level7_count,diff_mean_level,firstBlood_diff,firstDragon_diff,gold_diff,kill_diff,towerplates_diff,wards_killed_diff,wards_placed_diff,target
15,32,1,60.4,1,1,4874,8,3,0,2,1
3,-16,-1,-20.6,1,-1,52,1,-1,-3,-80,0
0,-27,-1,-80.8,1,0,-1401,-2,-1,4,-9,0
-8,-4,2,131.0,1,0,-2085,-5,-1,2,-6,0
1,9,1,-20.8,1,-1,536,0,0,-1,-1,1
2,0,1,-4.8,1,0,369,1,0,0,0,0
8,13,3,8.0,1,-1,1296,4,0,3,-13,0
3,-11,0,-6.4,1,0,-2097,-3,-1,3,34,0
2,-43,0,-38.4,-1,0,522,4,1,1,-20,0
5,-16,-1,11.2,1,1,260,2,1,-1,1,0
0,3,0,-2.0,1,-1,1044,1,0,0,-7,1
1,14,2,31.8,1,-1,1287,2,0,2,-2,0
1,-11,1,0.0,-1,0,-752,-2,-1,-3,4,0
-6,33,-1,22.4,-1,1,-826,-1,-1,4,-3,1
-1,21,1,23.0,-1,1,635,2,-2,-2,2,0
1,28,2,25.4,-1,1,1671,2,1,-1,108,1
-2,18,0,-24.4,-1,0,-452,-2,1,-1,18,0
5,-6,-1,-40.0,1,0,1230,4,0,1,-18,1
3,22,0,16.0,-1,0,2099,4,1,-1,-3,0
-4,24,0,-47.2,-1,0,-1004,-4,-1,-1,8,1
-4,4,0,16.0,-1,-1,669,1,2,-1,4,0
-1,-13,2,-5.6,-1,-1,-441,-1,0,-1,0,0
2,26,0,-68.8,1,0,741,0,1,-3,-5,1
7,-46,0,-19.4,-1,0,1347,4,0,-4,25,1
7,7,-1,-133.8,-1,-1,1675,1,0,1,21,0
-1,26,1,-0.8,-1,1,226,-1,0,0,0,1
8,52,1,-69.2,1,0,3176,5,1,2,-9,1
-5,25,1,-31.4,-1,0,-453,-3,0,2,-7,1
5,0,0,3.0,1,0,1677,6,0,0,3,1
-8,5,-3,-58.4,-1,-1,-2998,-8,0,0,161,0
12,-2,1,171.6,1,0,2536,7,0,1,-31,1
3,0,3,48.2,-1,0,771,1,0,-2,-2,1
6,-10,-2,-19.8,-1,-1,756,2,-1,-3,-92,1
-2,-26,2,68.2,1,-1,-700,-1,-1,3,-6,1
-4,13,-2,-12.4,-1,1,-1151,-3,-2,0,0,1
2,-35,0,91.6,1,0,278,2,-1,-2,1,1
5,-19,1,69.0,1,0,1386,6,1,0,-1,1
2,-35,2,55.6,1,0,614,3,0,4,5,0
-1,2,0,-2.2,1,0,45,1,-1,-3,6,1
4,-7,0,-3.2,-1,1,1823,7,-1,-2,8,1
-4,-28,1,19.8,-1,0,-2472,-4,-1,-4,-19,0
-7,-39,0,-86.2,-1,1,-2819,-3,-2,-2,-3,0
-5,-1,-1,-115.8,-1,0,-2408,-4,0,0,1,0
-5,-42,1,14.0,-1,0,-2065,-2,0,0,21,1
0,-15,1,-8.6,-1,1,-940,-1,-3,1,5,1
0,0,1,-10.6,0,0,17,0,0,0,0,0
-8,-13,0,1.2,-1,0,-2285,-3,-2,2,-12,0
-4,-10,0,-32.6,-1,0,-1557,-3,-2,-1,-18,1
5,-47,-3,-52.8,1,0,-574,1,-1,2,-8,0
-6,-1,0,-77.8,1,-1,-72,-1,-1,-1,-3,0
-5,-37,3,23.2,-1,-1,-2406,-5,1,2,0,0
-5,12,-2,-8.8,-1,0,206,1,-1,3,-22,1
4,28,-1,3.8,-1,-1,2199,4,0,0,-17,0
-2,-18,0,-41.8,1,1,-902,0,1,1,3,1
-5,-7,1,13.6,1,-1,-1328,-1,-3,-1,1,0
-7,-6,-1,-9.0,-1,0,355,-3,0,1,2,1
-4,-40,1,28.4,-1,1,-962,-1,1,2,-7,1
-3,10,2,3.4,-1,0,339,1,1,-3,4,1
-3,34,0,50.0,1,0,1907,3,0,1,0,0
-9,-11,1,38.8,-1,-1,-4392,-10,-1,-1,-3,0
-7,-27,0,-8.4,1,0,-2434,-3,-1,-1,-18,0
1,-22,0,25.2,1,-1,-704,0,-1,0,-23,0
-3,7,2,16.4,1,-1,1016,2,1,1,84,1
2,-11,1,45.2,1,0,-473,0,-2,-1,1,0
-2,0,-1,-11.8,-1,0,-1070,-2,-1,2,0,1
-5,14,1,-71.8,-1,0,-2426,-5,1,-6,1,1
0,13,0,57.4,1,0,522,2,0,-2,3,1
-5,1,1,-41.0,-1,0,-663,-2,0,-1,0,0
0,21,-2,17.2,-1,-1,921,1,0,1,-22,1
-15,-19,-1,-27.8,-1,0,-3943,-10,0,1,-26,1
3,-24,2,67.2,1,0,838,1,1,1,-3,0
4,9,-1,-56.0,1,0,896,0,-1,5,0,1
-1,16,0,-39.6,-1,0,66,1,1,-3,-10,0
-1,-12,-2,-125.2,-1,-1,-1883,-3,-3,1,17,0
1,22,4,13.2,1,0,860,2,2,-1,0,1
3,-2,1,95.2,-1,-1,917,0,-1,0,4,0
-2,8,0,-7.4,1,-1,945,2,-1,-2,0,1
1,13,-1,-17.4,-1,-1,496,0,1,-1,18,1
2,-11,2,-5.4,1,-1,402,1,-1,2,14,0
4,13,-2,34.0,1,0,2212,5,0,1,0,1
3,-29,-2,-16.4,1,0,153,2,0,0,0,0
-2,-6,0,-16.4,1,0,-1339,-2,-1,3,4,0
2,0,0,-5.0,1,0,1254,2,0,0,16,1
-11,-2,1,-10.2,1,1,-1994,-5,0,2,-6,0
0,-21,-2,-11.4,1,0,-672,0,0,-2,1,1
-5,14,1,12.4,-1,0,34,-1,1,2,7,1
0,-3,1,2.6,-1,-1,610,2,1,1,-5,1
6,9,0,-25.4,1,1,2752,6,1,3,4,1
-10,21,-2,1.8,1,1,-1607,-5,0,-1,-8,0
6,25,0,-145.2,1,-1,2682,8,0,3,0,1
4,38,2,79.8,-1,0,4216,4,6,-1,-2,1
-6,-23,0,38.6,1,0,-901,-1,0,0,-94,0
-8,35,1,15.6,-1,-1,-707,-3,-1,3,2,0
-8,-5,0,-10.2,-1,0,-1534,-3,0,-4,4,1
-9,-28,0,-43.0,-1,0,-2914,-5,-1,0,2,0
4,-2,-3,-39.0,1,0,964,2,-1,-2,3,0
-10,23,1,-23.6,1,0,-1542,-5,0,-2,-2,1
7,-18,1,-6.4,-1,-1,310,-1,1,0,1,1
5,23,1,84.6,1,0,2605,6,-2,3,-17,1
4,7,0,-54.2,-1,0,925,2,-1,-2,20,1
3,-12,2,45.6,1,0,1781,5,-1,1,62,1
6,29,1,74.6,1,0,1580,3,-1,1,16,1
1,-4,-1,28.6,-1,0,1197,2,0,3,-3,1
-2,38,0,3.0,-1,1,-546,-3,0,1,-114,1
-9,-17,1,66.0,-1,0,-1960,-5,0,-2,-158,1
3,-14,1,50.4,1,1,1120,3,2,-1,4,0
-7,-36,0,45.0,1,0,-1300,-2,0,-1,6,0
-11,-58,-2,-63.2,-1,0,-4886,-9,0,-1,-15,0
7,-14,0,-56.8,1,1,1298,3,1,1,4,1
0,19,1,-1.4,1,0,2091,4,2,5,-2,1
0,-56,-1,9.6,-1,0,-1539,-2,0,0,16,1
-1,-16,0,-26.2,-1,0,-625,-1,0,0,4,0
-1,12,0,30.4,1,0,1899,5,-1,1,0,1
10,-11,1,1.0,1,-1,3213,9,1,-1,2,1
10,7,-1,55.6,1,0,3978,8,0,-1,-90,1
2,11,-2,-1.6,-1,0,1492,2,0,-4,-4,1
-6,-28,-3,-16.2,-1,0,-1326,-4,1,-4,3,0
2,28,0,-93.6,1,0,1802,2,1,2,-4,1
0,37,1,-17.6,-1,0,875,0,0,3,7,1
-13,-62,0,53.2,-1,1,-4420,-9,-4,-7,-24,0
1,-35,0,-9.2,-1,1,-899,-1,0,0,-5,0
6,13,2,77.4,1,1,2465,5,0,2,-40,1
-2,-14,-1,-107.2,1,0,-923,0,0,-1,0,1
0,-68,0,-87.0,-1,-1,-2604,-2,-3,-4,1,0
8,-4,1,137.4,1,0,1715,3,0,-2,2,1
6,-57,1,-12.0,-1,-1,-60,2,0,0,18,1
11,21,0,-0.2,-1,1,1478,3,-1,3,2,1
10,29,-2,-64.6,1,-1,2619,7,1,0,-6,1
-1,-33,0,67.0,-1,-1,-911,0,-1,7,-6,0
13,28,1,-20.2,1,0,2671,6,0,0,6,1
-5,-23,1,-10.0,-1,-1,-1454,-3,0,-2,7,0
0,6,1,-8.8,-1,-1,-8,-1,0,2,-1,0
4,-65,0,0.2,1,0,-1002,2,-1,-4,-13,1
5,12,0,64.6,1,1,2480,6,1,2,1,1
3,16,1,24.6,-1,0,1011,2,-1,-1,-3,0
-3,3,0,75.0,1,1,-429,0,0,4,8,1
-1,58,0,-39.0,1,-1,144,-2,0,0,-4,0
7,44,-1,16.8,1,0,1664,1,-1,-2,4,0
-1,-20,1,21.0,-1,0,-1556,-3,0,-1,-1,1
-5,-7,1,1.2,1,0,-638,-1,0,3,-12,1
0,35,-2,-37.6,1,-1,287,-2,0,3,-100,1
-12,3,1,-81.6,1,-1,-1608,-6,1,-1,-1,0
-3,10,2,24.2,-1,0,-431,-2,0,4,99,0
3,17,1,6.2,1,0,931,1,0,-2,0,0
2,-48,-1,-11.8,-1,-1,-918,0,-1,-2,2,0
4,45,2,21.4,1,1,1973,3,-1,3,-1,1
-11,-28,0,23.0,-1,0,-2652,-5,-1,1,-5,0
4,-18,-2,24.2,1,0,950,5,1,-1,12,1
-3,-36,1,7.0,-1,0,-1250,-2,0,1,20,1
9,18,2,4.8,1,0,3349,6,2,5,14,1
4,21,0,59.2,1,-1,3045,5,0,-3,-20,1
4,3,0,27.6,1,0,2210,5,2,2,8,0
-2,24,-2,-65.0,1,0,1236,2,1,1,-7,0
-5,19,0,-6.0,-1,-1,-515,-2,-1,0,-2,0
3,-4,-1,-4.8,-1,-1,617,2,0,3,-1,0
5,25,1,10.4,-1,0,2098,4,0,3,0,1
9,-2,2,13.8,1,0,1089,3,1,-3,8,1
3,-30,2,3.2,-1,0,18,2,0,-1,3,0
1,-15,0,-16.4,1,1,477,1,2,0,-6,0
0,36,1,-19.4,-1,0,673,-1,1,0,3,1
-1,-75,1,-4.6,-1,1,-4527,-8,-3,-1,-1,0
-3,20,0,16.2,-1,0,-399,-2,-1,-2,-1,0
8,31,-1,6.0,1,-1,5124,10,1,-2,37,1
7,7,0,25.4,1,0,2116,4,1,1,4,1
1,-18,-1,14.6,-1,0,-515,-1,-2,0,2,1
3,-49,-1,13.6,-1,0,-1073,-1,0,2,109,0
10,-14,3,10.6,1,-1,1271,3,-1,0,4,0
-3,38,4,11.0,1,0,991,0,0,-1,91,1
3,50,0,-10.8,-1,-1,3017,5,-1,2,14,1
-2,-9,1,64.4,1,-1,89,1,1,-2,2,1
1,-8,0,-4.2,1,0,-768,-2,0,1,-8,0
-8,-7,0,-41.2,1,1,-1503,-1,-1,-2,1,0
-1,26,-1,72.0,1,0,1147,2,2,-1,1,1
-7,5,-1,-52.8,-1,1,-3091,-7,-3,3,-2,0
-4,-12,-2,-47.2,1,1,-245,0,2,-2,-95,1
-5,3,1,12.0,-1,0,-1607,-4,-1,1,2,1
9,4,0,-17.2,1,1,2481,7,0,2,146,1
1,-20,-1,-9.6,-1,-1,290,1,-1,-2,2,0
-3,5,-1,23.8,-1,-1,-408,-1,-1,1,-2,0
8,-10,-1,56.4,1,0,3586,11,1,1,1,1
0,6,-3,6.8,1,0,697,-1,2,-3,-34,0
3,-6,1,-14.2,1,-1,698,2,0,-1,1,1
-2,13,0,-29.2,-1,0,-763,-2,0,-1,0,1
-9,-13,-1,-11.6,-1,-1,-1766,-5,1,0,0,1
4,-27,0,-11.8,1,0,662,2,3,3,-12,0
-10,55,1,98.8,1,1,267,-1,1,1,-135,1
-5,12,1,9.6,1,-1,210,1,0,1,-28,0
3,-13,0,6.2,1,0,-203,-1,0,1,-70,1
-4,2,-1,-97.8,-1,0,94,0,1,-2,-14,1
17,-31,2,104.6,-1,1,2644,7,1,-1,0,1
2,-4,2,18.4,1,1,576,2,0,2,-174,0
5,-5,-1,-54.2,1,1,1437,2,0,-3,36,1
10,27,0,-22.6,1,0,3213,7,0,0,4,1
-3,52,0,-29.2,-1,0,650,-1,2,2,-22,0
-8,19,-1,-42.6,-1,0,-738,-1,-1,2,1,0
11,-11,2,7.0,-1,0,2313,7,1,3,13,0
0,-6,1,-8.4,-1,-1,804,1,1,3,63,0
10,69,1,51.8,1,0,4872,7,3,1,21,1
-1,-14,0,10.4,-1,-1,-957,-3,1,-1,8,1
3,7,3,13.0,1,0,-203,0,0,1,-24,1
2,13,1,0.4,-1,0,1533,4,0,-5,6,1
-2,15,-1,-44.8,1,-1,-409,-2,1,3,-3,1
0,34,-2,-2.0,1,0,841,1,0,1,-18,1
0,-15,0,77.2,-1,0,-860,-2,-2,-2,4,0
-1,1,1,24.2,-1,0,-609,-3,-3,1,1,0
9,48,1,-3.0,-1,1,3311,5,2,2,16,1
-6,-5,2,-17.4,1,-1,-1605,-4,-1,1,-5,1
16,31,1,-15.0,1,1,4109,8,4,-1,24,1
10,-9,1,26.2,1,0,3035,7,2,0,4,1
-6,-19,-2,-18.4,-1,-1,-1723,-4,0,0,-198,0
2,56,0,-24.0,1,0,2761,5,0,-1,4,1
-5,0,1,37.4,-1,-1,-1314,-4,-2,1,3,0
-3,-34,-4,-50.6,1,0,-905,-1,1,0,0,0
-9,-29,-2,-0.2,-1,0,-4053,-9,1,4,-26,0
8,-32,2,11.0,1,0,3092,9,1,2,-19,1
2,48,0,35.8,1,1,2132,2,4,-2,1,1
5,48,1,-22.8,-1,-1,1096,0,1,4,11,1
-2,-21,-1,0.2,-1,0,-7,0,1,-2,233,0
-1,-6,1,-25.2,1,0,-108,0,1,2,-5,1
-14,6,0,-20.8,-1,-1,-3032,-9,0,2,-18,0
-8,26,0,14.4,1,0,-713,-3,0,3,-98,0
3,-1,0,-24.0,1,0,2392,5,2,5,-21,1
-5,-69,-1,4.4,-1,0,-3359,-5,-2,1,-211,0
4,-7,1,33.2,1,-1,-83,0,-1,1,0,0
2,2,-2,-12.4,1,0,-261,-1,-1,-4,90,0
14,13,1,-28.2,1,1,2470,6,0,5,-1,1
4,-8,0,-2.2,-1,-1,87,-1,0,-3,25,0
3,15,1,71.6,1,0,853,1,1,-4,23,1
10,35,-3,-33.8,-1,0,3803,7,0,0,-17,1
-8,-7,0,-24.6,-1,0,-2402,-8,0,-1,-8,0
1,21,-1,84.4,-1,0,828,1,-1,-1,16,0
6,-4,3,131.6,-1,0,1400,3,0,-3,3,0
-3,0,0,-29.8,-1,-1,-1715,-7,0,-5,20,0
2,-47,-1,-48.6,-1,-1,-1096,0,-1,0,-82,0
9,33,-1,65.0,-1,0,3544,7,1,0,11,0
-2,12,3,4.2,-1,0,232,-2,0,-1,-1,0
8,25,1,27.0,1,0,2661,7,3,1,4,1
-4,-31,-2,29.2,1,-1,-2745,-3,-1,-2,-96,0
2,14,1,14.8,1,1,2058,4,2,3,1,1
1,22,-1,107.8,1,-1,2797,6,2,5,9,1
0,30,0,-20.4,-1,0,71,0,0,2,-1,0
8,-1,1,26.8,-1,0,1098,2,1,3,-18,1
-13,-26,0,-12.8,-1,-1,-2685,-5,0,3,-95,0
7,-13,1,17.8,1,0,1150,3,0,0,-1,1
3,-13,-2,-53.8,1,0,-22,2,1,1,-13,1
5,-4,0,0.8,1,1,1618,5,1,0,11,1
10,1,-1,11.6,-1,0,3268,8,2,1,14,1
0,53,2,11.6,1,0,2333,4,2,0,20,0
-7,-3,0,11.0,1,0,-1358,-3,0,1,-4,1
-12,1,-1,7.6,1,-1,-2399,-5,-1,-5,-2,0
-6,14,1,-5.6,-1,0,-1012,-4,0,-1,0,0
-1,12,-1,-24.2,1,0,1574,5,0,0,11,0
4,-8,0,41.8,1,0,524,0,1,3,-2,0
-3,-3,1,67.2,1,0,185,1,0,5,4,0
-1,-9,0,-11.4,1,1,-10,3,-3,0,-3,1
2,-22,0,-2.8,-1,-1,-460,0,-2,1,-2,1
13,-4,0,-7.4,1,0,3475,9,0,-2,7,1
-2,-59,-1,37.6,1,-1,-1416,1,-2,-3,-3,0
0,5,-1,34.4,-1,-1,6,0,-2,0,4,0
-2,-9,1,26.8,-1,-1,-469,-1,0,-4,6,0
0,41,0,84.6,1,1,3131,5,2,-1,-18,1
2,19,3,44.4,1,0,1700,4,0,2,-7,0
11,0,-1,-74.4,1,0,2056,5,-1,0,14,1
1,-7,2,19.4,1,0,462,1,1,-6,2,0
-4,-27,0,-17.4,1,-1,28,0,1,0,20,1
-4,1,-2,-49.8,1,-1,-319,-1,0,-2,-11,1
-7,-7,-3,-41.4,-1,1,-2468,-5,0,-4,8,0
6,6,2,16.8,1,-1,1799,2,0,0,81,1
6,43,-1,-5.6,1,1,3693,6,1,0,0,1
11,1,0,6.4,1,1,3228,8,2,4,-11,1
-4,-3,1,-25.0,1,1,-831,-1,1,-4,3,1
-8,-21,1,10.2,-1,-1,-2434,-5,-1,3,-3,0
0,-1,-2,-69.0,-1,1,-941,-1,0,6,-8,0
-3,-33,0,39.2,-1,0,-1811,-4,-1,0,16,0
0,45,1,21.8,1,-1,732,-2,2,1,-3,1
-11,-42,2,21.0,-1,0,-3685,-7,0,-6,11,0
8,-36,0,1.0,-1,-1,567,1,-2,-3,17,0
5,35,-2,-36.2,-1,0,1824,3,1,0,9,1
2,-15,-1,-2.6,-1,-1,658,2,-1,-1,0,0
0,-8,-1,-130.0,1,1,-498,0,0,3,-1,1
-5,-10,-1,-62.0,-1,0,306,2,2,4,-3,1
-1,7,-1,-9.8,1,1,702,2,2,2,1,0
-8,-41,0,34.2,-1,0,-2802,-5,0,0,-3,0
5,14,0,-9.4,1,-1,947,1,0,0,6,0
5,25,0,-8.6,1,-1,2138,3,-1,2,-1,0
5,-6,1,54.2,1,0,2431,7,0,-1,-16,1
3,27,-1,0.2,1,-1,409,0,0,-1,1,0
-12,42,0,-58.0,1,-1,-1589,-6,0,0,0,0
-9,-54,1,27.2,1,-1,-1823,-3,0,-5,5,0
0,-39,1,38.4,1,0,76,2,0,1,-6,1
1,-2,1,-2.0,1,-1,812,2,0,-3,22,0
-11,-44,2,-8.6,-1,0,-3192,-5,-2,-1,-1,0
2,-37,1,87.2,-1,-1,-1148,-2,-1,-1,31,0
-4,-23,-2,-11.2,1,0,-2537,-4,1,-2,9,1
0,6,-2,-73.0,-1,0,1273,2,0,-1,20,0
-1,-15,0,-1.2,-1,0,-95,2,-2,0,-69,0
8,53,1,-36.4,-1,0,3302,5,0,0,9,1
-3,-28,1,-3.0,-1,0,-1637,-3,0,-2,-2,0
-9,-1,0,61.8,1,1,-1588,-3,0,-3,2,0
-7,5,2,20.0,1,0,-1258,-5,2,3,-6,1
-9,18,-1,24.6,-1,-1,-2792,-6,0,-2,-18,0
4,-13,-1,-9.4,1,0,1484,5,0,0,1,0
-7,-16,-2,37.8,-1,-1,-2522,-5,-3,0,-4,0
3,44,0,23.0,1,0,1206,2,-1,2,29,1
-12,-12,1,19.2,-1,0,-2728,-8,1,0,-12,0
2,-6,1,-4.8,-1,0,176,2,0,-2,-2,1
-4,38,-1,-3.2,-1,1,-1244,-4,0,1,-6,0
2,9,-1,-30.8,-1,0,1135,3,-1,-2,0,1
2,19,1,5.6,-1,0,1066,2,0,4,6,1
1,16,0,8.0,1,0,1819,2,0,-2,4,1
-3,10,1,31.0,-1,-1,236,-2,-2,-2,36,0
-7,-30,-1,14.2,-1,-1,-2738,-6,0,-1,3,0
-14,35,0,-22.6,-1,0,-1655,-6,1,-2,20,0
4,4,1,98.6,1,0,-697,0,-1,0,2,0
7,-30,-2,15.4,1,0,1276,5,0,0,0,1
4,-36,1,2.0,1,1,586,3,2,-1,-2,0
3,-54,1,131.0,-1,1,-1229,0,-3,-4,-184,0
-4,10,-1,4.8,1,0,-47,-1,0,-2,0,1
3,0,-2,-61.4,1,0,752,2,0,-1,-3,1
-1,-23,1,53.8,1,0,-452,1,0,-3,-2,0
-4,6,0,-3.0,-1,1,130,-2,0,-3,-5,0
1,33,1,14.8,1,1,463,0,0,1,-4,1
8,7,1,1.8,1,0,3481,8,1,3,25,1
-1,12,-1,-10.0,1,0,-1063,-3,-2,-1,18,0
4,-1,-2,15.2,1,0,-249,-1,0,2,6,1
-6,-13,1,66.2,-1,0,-1570,-4,-2,7,6,0
-6,-23,0,74.8,-1,1,-1780,-1,-2,-1,2,0
1,20,-2,-21.6,-1,1,-1067,-4,-1,2,-2,0
5,-3,-1,59.8,-1,-1,1789,4,0,-1,3,1
-12,-10,-1,-60.2,-1,0,-3211,-9,-1,0,-99,0
-12,-16,2,-20.0,-1,-1,-3326,-7,0,-4,92,0
-3,-19,1,43.2,1,-1,-1847,-4,0,-1,-2,0
-2,-10,2,40.6,-1,1,-1325,-4,-1,5,-9,1
-9,5,-1,-1.8,1,0,1211,4,1,4,2,1
-2,20,1,175.0,-1,1,795,1,-1,1,97,0
1,-93,-1,17.4,1,0,-2195,1,-1,-1,0,1
-4,-6,2,-42.8,-1,0,-2971,-6,-2,-1,6,1
-9,-15,2,11.8,1,0,-3764,-10,-1,-3,0,1
-1,5,0,-32.6,-1,-1,-694,-3,1,-1,-10,0
1,26,1,0.0,-1,-1,974,1,1,-4,8,1
-4,-73,0,6.6,-1,0,-4092,-6,-4,-6,-1,0
6,-7,1,31.6,-1,0,2038,4,0,0,-1,1
11,11,-1,-19.4,-1,-1,2014,4,-1,-1,0,0
1,25,0,0.6,1,0,1270,2,1,0,-3,0
2,-9,1,18.6,1,1,464,2,0,-4,0,1
0,9,0,-29.6,1,1,521,1,0,4,-2,1
6,-8,1,52.0,1,0,-169,0,-1,1,-7,0
4,-32,-1,2.6,1,0,569,2,1,-2,3,1
0,2,-2,-80.4,1,0,-457,0,0,-1,0,0
-4,-10,-2,41.2,-1,0,-2478,-6,0,2,29,0
3,-8,0,-44.4,-1,0,804,2,0,-2,-7,1
-2,-64,0,-18.4,-1,-1,-2696,-5,-2,-2,15,0
-5,-17,-1,-47.2,1,0,-763,-1,0,1,4,0
-4,-55,-4,-19.8,-1,0,-3599,-4,-3,-2,-2,0
-2,4,-1,-2.4,-1,0,337,1,1,1,20,1
-5,-48,-1,-48.8,1,0,-3327,-6,0,3,-4,0
-3,-9,-2,4.2,-1,0,-887,-1,0,-4,0,0
2,0,-1,-1.6,1,0,2417,5,1,-3,-7,1
-6,-2,0,-17.6,-1,0,-1619,-5,0,-4,2,0
-1,-24,1,42.4,-1,0,-1239,-2,-1,0,7,0
-5,11,-2,-5.4,-1,1,-346,-1,-1,-4,6,1
-4,-17,0,114.2,-1,-1,-2477,-5,-1,0,14,0
-7,13,0,38.6,-1,0,-1146,-1,0,0,-5,0
9,27,0,-6.2,-1,-1,3203,7,0,0,3,1
0,34,-1,-36.0,1,-1,2079,2,2,2,2,1
-8,61,2,3.8,1,-1,-66,-3,0,2,1,1
-5,-21,0,21.6,-1,1,-1752,-4,0,-1,-3,0
8,64,-1,-28.4,-1,0,4052,6,2,1,4,1
3,-35,-1,-7.8,-1,-1,-2351,-5,-1,3,-6,1
-11,5,1,-16.2,-1,-1,-1627,-6,2,2,-3,0
-1,-4,-3,18.2,-1,0,-119,0,-2,-2,13,0
-7,-47,1,66.6,-1,0,-3290,-6,-1,2,8,0
-5,11,-1,100.6,-1,0,-1638,-5,-1,2,23,0
9,-3,0,-5.6,-1,0,2134,6,1,2,4,1
-14,-1,1,-15.6,1,0,-3706,-9,1,0,-111,0
9,20,-1,-110.2,1,1,2034,5,1,2,-33,1
5,-45,0,-31.0,1,0,-1118,0,-1,-1,-27,0
8,-30,1,-3.2,-1,0,960,2,0,0,4,1
10,11,2,-5.2,1,0,1790,4,0,2,2,1
-1,22,0,-9.2,-1,0,211,-1,1,2,-2,1
3,57,2,41.0,-1,0,1626,1,0,0,-5,1
-6,15,0,86.8,-1,0,-1161,-2,-1,-1,2,1
-3,35,1,-13.0,1,0,-103,-1,0,-1,-6,1
-1,19,-1,24.0,1,0,-167,0,0,-1,-24,0
9,51,0,0.6,1,1,3610,9,3,1,18,1
10,-1,1,-50.2,-1,0,1327,4,2,1,-257,1
-1,-17,0,0.8,-1,0,-1893,-5,-1,1,-1,1
-1,5,1,33.2,1,1,-978,-3,0,-1,1,0
-8,-16,0,45.4,-1,-1,-1450,-2,0,-3,2,0
-1,-20,0,112.0,1,-1,-206,0,1,1,-37,0
-2,1,1,6.0,-1,1,294,1,0,0,-2,1
4,6,2,62.0,-1,1,296,1,0,0,-8,0
3,14,2,1.0,1,0,1633,2,1,0,-4,0
-10,-28,0,-9.4,-1,0,-1092,0,-1,-4,-8,0
2,-17,0,6.4,-1,0,-294,-1,0,-1,68,1
11,70,-1,25.8,-1,0,4359,6,1,2,-2,0
-2,-39,1,47.4,1,-1,-3470,-6,-3,-1,0,0
-9,17,-3,-7.6,-1,-1,-1931,-5,0,0,-1,0
-6,-59,-1,7.2,1,-1,-3441,-4,-1,-2,-8,0
-8,53,0,-56.4,1,0,-305,-3,2,-2,16,1
5,17,3,43.2,1,0,3329,7,1,-2,103,1
-1,-37,0,24.0,-1,-1,-1532,-2,0,-1,1,1
1,-10,-1,-73.2,-1,0,-982,-4,-1,0,-2,0
-21,30,1,-76.4,-1,0,-2256,-7,-1,3,-8,0
0,2,-1,-41.2,0,0,40,0,0,0,-3,0
4,12,1,47.8,1,0,3163,4,3,2,37,1
0,15,2,28.2,1,0,309,2,0,3,-10,0
-20,4,-1,-0.6,1,0,-3211,-8,0,0,-5,0
-1,25,1,24.2,1,0,1640,3,1,4,-4,1
-3,33,3,58.4,1,0,1657,4,-1,4,0,1
14,-11,-1,-17.8,1,0,3062,7,2,-2,18,1
0,54,-2,-13.0,-1,0,209,-2,1,0,1,1
2,13,-2,-83.2,-1,0,172,0,-1,-2,-5,1
-7,45,1,-0.8,-1,-1,342,-3,1,-1,-84,1
5,-11,0,-23.2,1,0,989,2,0,3,-7,1
6,-10,0,62.4,1,0,1450,4,-1,2,-3,1
9,-15,-1,-12.2,1,-1,1629,4,-2,-3,3,0
7,23,0,62.0,-1,0,2696,4,-1,2,19,1
-1,36,1,59.4,1,0,1152,3,0,3,-18,1
3,18,-1,-71.6,1,0,691,-1,0,3,2,0
2,-20,-1,-38.0,-1,0,-463,-1,0,-2,-5,0
0,-46,1,59.2,1,0,-1353,-1,0,-1,9,0
-2,17,0,0.2,-1,0,36,0,0,2,-12,0
13,48,-1,12.4,1,1,4618,8,3,1,-3,1
4,-28,-1,19.4,1,-1,795,4,1,-1,9,0
-6,2,-1,-11.2,-1,-1,-1028,-2,1,-3,-89,1
-3,-15,-3,-22.4,1,0,-1610,-4,2,-7,7,1
-2,52,-3,-22.4,1,0,881,1,0,2,9,1
3,40,2,23.0,1,0,2523,4,0,2,97,1
-8,-7,1,22.8,-1,-1,-1688,-3,-1,2,81,0
0,-29,-3,6.2,-1,0,-1252,-1,-2,1,-4,0
-7,52,-1,-4.0,-1,-1,499,-2,1,0,2,0
-5,8,1,-5.0,1,0,-1146,-2,-1,0,-3,1
0,-7,0,-9.8,1,0,-1085,-4,1,-8,4,1
4,13,-1,-5.8,1,-1,3089,4,1,-2,5,1
7,37,0,26.8,1,0,4002,10,-1,-2,9,1
4,-13,1,-4.2,1,0,1560,4,0,1,4,1
1,0,1,9.8,1,0,-599,1,0,4,4,0
2,-7,1,-13.6,1,0,375,1,-1,-2,3,0
2,-9,0,40.6,-1,-1,-292,-1,0,0,2,0
1,13,1,-68.4,-1,0,1045,3,0,-2,6,1
1,-15,-1,-2.6,1,-1,-249,-2,0,0,3,0
-3,-53,0,4.0,-1,-1,-3218,-6,-1,0,-7,0
-7,-5,0,-91.4,-1,1,-2175,-5,-1,-4,-17,1
-3,-24,0,6.4,-1,1,-1166,-2,0,-2,-2,1
-2,1,-2,-59.0,1,0,888,3,0,-1,24,1
